UTC:,ykdhf,,,,,,,,,,,,,,,,,
time_pc [s],Mass [g],time_mcu[ms],data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:
1.316948652,0,66212,25392,6594,24600,12114,9284,8697,8514,8661,8588,8485,8690,8976,8360,8404,8566,9651
1.334063292,0,66227,10237,24923,6777,24043,12151,9291,8785,8954,8778,8646,8741,9277,8470,8500,8595,9409
1.349685431,0,66242,9270,10267,24490,6755,22687,11124,8947,8947,8785,8632,8727,9196,8514,8397,8433,9094
1.349685431,0,66257,8734,8954,10178,23266,6579,20553,10626,9138,8800,8610,8705,9013,8463,8390,8345,8895
1.365594625,0,66272,8602,8661,8991,9409,21103,6359,18889,10787,9174,8785,8808,8969,8294,8316,8367,8793
1.381242275,0,66286,8558,8646,8822,8829,9247,19512,6191,19226,11264,9284,8874,9203,8478,8375,8324,8815
1.396887541,0,66301,8544,8632,8800,8720,8808,9358,19336,6154,19431,11029,9160,9533,8529,8404,8338,8815
1.412515402,0,66316,8580,8705,8778,8646,8646,8808,9592,19886,6242,21477,11256,9893,8807,8441,8345,8830
1.428141832,0,66331,8551,8551,8654,8580,8529,8536,8844,9665,22144,6513,24703,12591,8969,8441,8338,8859
1.443764687,0,66346,8529,8617,8632,8455,8507,8485,8522,8947,9519,25165,6828,38260,13661,8998,8544,8976
1.459367752,0,66360,9079,9020,9284,9020,8910,8830,8903,9358,9651,10545,38634,8295,48488,15736,9775,9533
1.47499299,0,66375,9035,8896,8961,8793,8778,8668,8602,8903,8918,9057,10574,48678,9483,29762,12048,9504
1.490594387,0,66390,8925,8785,8800,8507,8463,8455,8375,8595,8536,8522,8984,11344,29953,7364,26147,11601
1.50625062,0,66405,9614,9020,8888,8624,8543,8412,8367,8595,8492,8478,8727,9585,9401,26558,6982,27761
1.52189064,0,66420,30195,11755,9321,8837,8580,8448,8294,8631,8463,8522,8639,9196,8697,9094,27621,7107
1.52189064,0,A,,,,,,,,,,,,,,,,
1.537497282,0,66434,4600,22907,11975,9394,8830,8602,8426,8705,8566,8448,8661,9086,8558,8529,9225,28142
1.552765846,0,66449,25209,6564,24498,12122,9262,8617,8456,8705,8551,8448,8661,9006,8433,8434,8588,9783
1.568395853,0,66464,10266,24872,6770,23999,12158,9328,8756,8903,8844,8661,8786,9328,8617,8551,8588,9379
1.585762024,0,66479,9196,10355,24461,6762,22665,11066,8925,8896,8778,8712,8705,9152,8500,8419,8456,9042
1.601402998,0,66494,8793,9050,10281,23141,6594,20524,10604,9079,8866,8690,8683,9072,8390,8426,8331,8947
1.601402998,0,66508,8624,8683,8932,9401,20927,6403,18933,10831,9130,8690,8705,9064,8353,8368,8338,8837
1.617285728,0,66523,8551,8602,8807,8829,9262,19541,6205,19226,11146,9269,8932,9255,8609,8375,8324,8844
1.632947206,0,66538,8609,8631,8771,8749,8830,9306,19475,6169,19468,11110,9211,9453,8566,8360,8404,8859
1.648588896,0,66553,8573,8610,8763,8668,8741,8859,9687,20106,6249,21455,11198,9922,8654,8426,8367,8822
1.664214373,0,66568,8573,8610,8580,8522,8580,8558,8852,9687,22115,6447,24725,12584,8998,8522,8360,8940
1.679843903,0,66582,8587,8661,8705,8478,8536,8455,8492,8881,9504,25018,6850,38392,13617,8969,8478,8991
1.695471764,0,66597,9108,9160,9233,9006,8896,8800,8844,9387,9614,10582,38413,8309,48378,15765,9732,9570
1.711094618,0,66612,8962,8903,8991,8844,8705,8646,8639,8910,8866,9049,10619,48627,9417,29689,12070,9541
1.734644651,0,66627,8976,8734,8778,8492,8573,8455,8338,8499,8492,8551,8917,11366,29953,7386,26177,11667
1.74912715,0,66642,9651,9006,8925,8668,8514,8441,8331,8544,8522,8455,8698,9570,9431,26624,6960,27695
1.755776644,0,66656,30209,11755,9284,8830,8632,8441,8331,8566,8478,8492,8742,9240,8668,9064,27460,7063
1.755776644,0,A,,,,,,,,,,,,,,,,
1.771774769,0,66671,4600,22797,12012,9343,8910,8529,8441,8661,8580,8478,8588,9064,8551,8602,9284,28134
1.787377596,0,66686,25150,6608,24549,12107,9299,8727,8441,8675,8529,8492,8653,9050,8441,8375,8588,9739
1.802997112,0,66701,10208,25018,6799,24050,12180,9328,8756,8954,8786,8705,8756,9248,8543,8573,8573,9394
1.818619013,0,66716,9152,10245,24630,6755,22679,11102,8910,8925,8852,8610,8778,9167,8500,8368,8412,9057
1.833883286,0,66730,8727,9028,10237,23207,6586,20502,10582,9071,8852,8595,8690,9057,8412,8382,8353,8888
1.849505424,0,66745,8492,8631,8947,9372,20927,6403,18970,10751,9086,8800,8712,9145,8397,8360,8324,8837
1.865472317,0,66760,8522,8617,8786,8771,9262,19556,6191,19175,11110,9284,8940,9262,8419,8375,8367,8822
1.881084919,0,66775,8573,8602,8830,8771,8778,9387,19549,6103,19402,11088,9189,9468,8573,8433,8412,8888
1.896670341,0,66790,8529,8646,8771,8698,8705,8822,9636,20054,6271,21528,11286,9981,8742,8448,8353,8859
1.912094831,0,66804,8492,8544,8595,8595,8544,8602,8800,9761,22159,6557,24732,12679,8925,8492,8338,8771
1.912094831,0,66819,8595,8690,8683,8558,8529,8426,8500,8998,9548,24945,6843,38179,13573,8962,8514,8947
1.927890539,0,66834,9042,9057,9255,9028,8866,8771,8888,9284,9629,10538,38751,8148,48363,15670,9783,9599
1.943554163,0,66849,8998,8866,8888,8830,8771,8661,8595,8888,8866,9006,10626,48957,9351,29740,12063,9519
1.959201336,0,66864,8866,8786,8764,8566,8514,8411,8368,8478,8529,8507,8969,11300,30026,7210,26177,11645
1.974820375,0,66878,9577,9072,8888,8668,8617,8441,8353,8595,8433,8500,8705,9606,9350,26675,7004,27724
1.990407705,0,66893,30158,11748,9269,8874,8654,8433,8360,8543,8522,8463,8587,9225,8654,9050,27284,7092
1.990407705,0,A,,,,,,,,,,,,,,,,
2.005717754,0,66908,4600,22855,11975,9394,8830,8632,8463,8683,8514,8470,8624,9072,8507,8595,9181,28032
2.021699429,0,66923,25150,6594,24608,12173,9277,8661,8485,8720,8588,8485,8617,8998,8390,8390,8551,9804
2.037320137,0,66938,10237,24967,6806,24058,12151,9284,8785,8910,8808,8705,8720,9233,8543,8558,8580,9387
2.052921057,0,66952,9277,10259,24446,6762,22606,11154,8969,8940,8830,8617,8800,9174,8485,8485,8382,9094
